name_ko,name_en,tasting_note,roasting,process,variety,altitude,washing_station,region,release_ym,category,no,sensory_narrative
엘 오브라헤: 게이샤 내추럴,EL OBRAJE: GEISHA NATURAL,"재스민, 복숭아, 만다린, 리슬링 와인, 실키",미디엄 라이트,내추럴,게이샤,"2,000 MASL",,탕구아,2025년 11월,싱글오리진,429.0,"탕구아 지역의 개성이 담긴 이 커피에서는 재스민이 먼저 맑게 피어나고, 이어 복숭아가 부드럽게 겹쳐지며 첫인상을 형성합니다. 과실의 농도감이 자연스럽게 확장되며 보다 풍성한 단맛으로 이어지고 중반부로 갈수록 만다린을 떠올리게 하는 뉘앙스가 한층 또렷해집니다. 게이샤 품종 특유의 섬세한 플로럴함과 길고 우아한 여운이 중심을 잡습니다. 높은 재배고도는 향을 더욱 선명하고 입체적으로 드러내며, 산미를 맑고 길게 이어지게 합니다. 끝맛은 깨끗하고 화사하게 정리되며, 잔향에는 꽃 향기 같은 가벼운 울림이 오래 남습니다. 섬세한 향의 결와 맑은 산미를 선호하시는 분들께 특히 인상적으로 다가갈 원두입니다."
에콰도르 라 호세피나 파카마라,ECUADOR LA JOSEFINA PACAMARA,"구아바, 파파야, 망고스틴, 단호박",미디엄 라이트,무산소 워시드,파카마라,"1,200 ~ 2,000 MASL",,피친차,2025년 11월,싱글오리진,428.0,"피친차 지역의 개성이 담긴 이 커피에서는 구아바가 먼저 맑게 피어나고, 이어 파파야가 부드럽게 겹쳐지며 첫인상을 형성합니다. 발효에서 비롯된 입체적인 인상이 더해져 향미의 층위가 한층 깊어지고 중반부로 갈수록 망고스틴을 떠올리게 하는 뉘앙스가 한층 또렷해집니다. 파카마라 특유의 넓은 향의 폭과 구조감이 컵의 존재감을 한층 크게 만듭니다. 중고도의 재배 환경이 단맛과 산미의 균형을 잘 잡아 주며 부드러운 구조감을 만들어 냅니다. 후반부로 갈수록 과실의 농도감이 부드럽게 번지며 생기 있는 피니시를 남깁니다. 화려한 과실감과 복합적인 향미를 즐기시는 분들께 좋은 선택이 됩니다."
부룬디 마샤,BURUNDI MASHA,"아카시아 꿀, 살구, 리치, 홍차",미디엄 라이트,허니,버번,"1,672 MASL",,카얀자 가타라,2025년 11월,싱글오리진,427.0,"카얀자 가타라 지역의 개성이 담긴 이 커피에서는 아카시아 꿀이 먼저 맑게 피어나고, 이어 살구가 부드럽게 겹쳐지며 첫인상을 형성합니다. 허니 프로세스가 단맛과 질감을 부드럽게 이어 주며 컵의 결을 매끈하게 다듬고 중반부로 갈수록 리치를 떠올리게 하는 뉘앙스가 한층 또렷해집니다. 버번 계열 특유의 부드러운 단맛과 둥근 질감이 전체 인상을 한층 매끄럽게 정리합니다. 중고도의 재배 환경이 단맛과 산미의 균형을 잘 잡아 주며 부드러운 구조감을 만들어 냅니다. 후반부로 갈수록 과실의 농도감이 부드럽게 번지며 생기 있는 피니시를 남깁니다. 화려한 과실감과 복합적인 향미를 즐기시는 분들께 좋은 선택이 됩니다."
페루 게레로스,PERU GUERREROS,"열대과일, 포도, 감, 메이플 시럽",미디엄 라이트,내추럴,"카투아이, 버번","1,800 MASL",,카하마르카 벨라비스타 엘 팔토,2025년 11월,싱글오리진,426.0,"카하마르카 벨라비스타 엘 팔토 지역의 개성이 담긴 이 커피에서는 열대과일이 먼저 맑게 피어나고, 이어 포도가 부드럽게 겹쳐지며 첫인상을 형성합니다. 과실의 농도감이 자연스럽게 확장되며 보다 풍성한 단맛으로 이어지고 중반부로 갈수록 감을 떠올리게 하는 뉘앙스가 한층 또렷해집니다. 버번 계열 특유의 부드러운 단맛과 둥근 질감이 전체 인상을 한층 매끄럽게 정리합니다. 충분한 재배고도 덕분에 산미와 향의 윤곽이 뚜렷하게 살아나며 컵의 투명감이 좋아집니다. 끝맛은 가볍고 투명하게 정리되며, 여운은 길고 깨끗하게 이어집니다. 천천히 식혀 마실수록 표정이 달라지는 매력을 지닌 원두입니다."
에티오피아 하로 와추,ETHIOPIA HARO WACHU,"딸기, 블루베리, 라벤더, 자두, 베르가못",미디엄 라이트,내추럴,토착종,"2,100 ~ 2,450 MASL",하로 와추 워싱 스테이션,구지 우라가,2025년 11월,싱글오리진,425.0,"구지 우라가 지역과 하로 와추 워싱 스테이션의 배경이 겹쳐진 이 커피에서는 딸기가 먼저 맑게 피어나고, 이어 블루베리가 부드럽게 겹쳐지며 첫인상을 형성합니다. 과실의 농도감이 자연스럽게 확장되며 보다 풍성한 단맛으로 이어지고 중반부로 갈수록 라벤더를 떠올리게 하는 뉘앙스가 한층 또렷해집니다. 에티오피아 계열 품종 특유의 야생화 같은 향과 복합성이 잔 안에서 자연스럽게 펼쳐집니다. 높은 재배고도는 향을 더욱 선명하고 입체적으로 드러내며, 산미를 맑고 길게 이어지게 합니다. 끝맛은 깨끗하고 화사하게 정리되며, 잔향에는 꽃 향기 같은 가벼운 울림이 오래 남습니다. 섬세한 향의 결와 맑은 산미를 선호하시는 분들께 특히 인상적으로 다가갈 원두입니다."
세로 아줄: 게이샤,CERRO AZUL: GEISHA,"라즈베리, 거봉, 라벤더, 람부탄",라이트,내추럴,게이샤,"1,700 ~ 2,000 MASL",,바예 델 카우카 트루히요,2025년 10월,싱글오리진,424.0,"바예 델 카우카 트루히요 지역의 개성이 담긴 이 커피에서는 라즈베리가 먼저 맑게 피어나고, 이어 거봉이 부드럽게 겹쳐지며 첫인상을 형성합니다. 과실의 농도감이 자연스럽게 확장되며 보다 풍성한 단맛으로 이어지고 중반부로 갈수록 라벤더를 떠올리게 하는 뉘앙스가 한층 또렷해집니다. 게이샤 품종 특유의 섬세한 플로럴함과 길고 우아한 여운이 중심을 잡습니다. 충분한 재배고도 덕분에 산미와 향의 윤곽이 뚜렷하게 살아나며 컵의 투명감이 좋아집니다. 후반부로 갈수록 과실의 농도감이 부드럽게 번지며 생기 있는 피니시를 남깁니다. 화려한 과실감과 복합적인 향미를 즐기시는 분들께 좋은 선택이 됩니다."
콜롬비아 파티오 보니토,COLOMBIA PATIO BONITO,"구아바, 리치, 유자, 그린 올리브",미디엄 라이트,무산소 워시드,티피카,"1,570 ~ 1,650 MASL",,카우카 칼도노,2025년 10월,싱글오리진,423.0,"카우카 칼도노 지역의 개성이 담긴 이 커피에서는 구아바가 먼저 맑게 피어나고, 이어 리치가 부드럽게 겹쳐지며 첫인상을 형성합니다. 발효에서 비롯된 입체적인 인상이 더해져 향미의 층위가 한층 깊어지고 중반부로 갈수록 유자를 떠올리게 하는 뉘앙스가 한층 또렷해집니다. 티피카 특유의 투명하고 우아한 균형이 컵 전체를 정갈하게 정리합니다. 중고도의 재배 환경이 단맛과 산미의 균형을 잘 잡아 주며 부드러운 구조감을 만들어 냅니다. 후반부로 갈수록 과실의 농도감이 부드럽게 번지며 생기 있는 피니시를 남깁니다. 화려한 과실감과 복합적인 향미를 즐기시는 분들께 좋은 선택이 됩니다."
콜롬비아 코르티나 데 예로,COLOMBIA CORTINA DE HIERRO,"자몽, 패션프루트, 사과잼",미디엄 라이트,공동 발효 워시드,카스티요,"1,900 ~ 1,950 MASL",,퀸디오 아르메니아,2025년 10월,싱글오리진,422.0,"퀸디오 아르메니아 지역의 개성이 담긴 이 커피에서는 자몽이 먼저 맑게 피어나고, 이어 패션프루트가 부드럽게 겹쳐지며 첫인상을 형성합니다. 발효에서 비롯된 입체적인 인상이 더해져 향미의 층위가 한층 깊어지고 중반부로 갈수록 사과잼을 떠올리게 하는 뉘앙스가 한층 또렷해집니다. 카스티요가 보여 주는 안정적인 단맛과 부드러운 컵 프로파일이 밸런스를 잘 받쳐 줍니다. 충분한 재배고도 덕분에 산미와 향의 윤곽이 뚜렷하게 살아나며 컵의 투명감이 좋아집니다. 후반부로 갈수록 과실의 농도감이 부드럽게 번지며 생기 있는 피니시를 남깁니다. 화려한 과실감과 복합적인 향미를 즐기시는 분들께 좋은 선택이 됩니다."
부룬디 넴바,BURUNDI NEMBA,"밤꿀, 천도복숭아, 감귤",라이트,워시드,버번,"1,818 MASL",넴바,카얀자,2025년 10월,싱글오리진,421.0,"카얀자 지역과 넴바의 배경이 겹쳐진 이 커피에서는 밤꿀이 먼저 맑게 피어나고, 이어 천도복숭아가 부드럽게 겹쳐지며 첫인상을 형성합니다. 워시드 특유의 투명한 질감이 향미의 경계를 또렷하게 세워 주고 중반부로 갈수록 감귤을 떠올리게 하는 뉘앙스가 한층 또렷해집니다. 버번 계열 특유의 부드러운 단맛과 둥근 질감이 전체 인상을 한층 매끄럽게 정리합니다. 충분한 재배고도 덕분에 산미와 향의 윤곽이 뚜렷하게 살아나며 컵의 투명감이 좋아집니다. 끝맛은 가볍고 투명하게 정리되며, 여운은 길고 깨끗하게 이어집니다. 천천히 식혀 마실수록 표정이 달라지는 매력을 지닌 원두입니다."
에티오피아 단체,ETHIOPIA DANCHE,"백도, 살구, 청포도, 레몬그라스",라이트,워시드,토착종,"2,070 ~ 2,120 MASL",단체,SNNPR,2025년 10월,싱글오리진,420.0,"SNNPR 지역과 단체의 배경이 겹쳐진 이 커피에서는 백도가 먼저 맑게 피어나고, 이어 살구가 부드럽게 겹쳐지며 첫인상을 형성합니다. 워시드 특유의 투명한 질감이 향미의 경계를 또렷하게 세워 주고 중반부로 갈수록 청포도를 떠올리게 하는 뉘앙스가 한층 또렷해집니다. 에티오피아 계열 품종 특유의 야생화 같은 향과 복합성이 잔 안에서 자연스럽게 펼쳐집니다. 높은 재배고도는 향을 더욱 선명하고 입체적으로 드러내며, 산미를 맑고 길게 이어지게 합니다. 끝맛은 가볍고 투명하게 정리되며, 여운은 길고 깨끗하게 이어집니다. 천천히 식혀 마실수록 표정이 달라지는 매력을 지닌 원두입니다."
마라니유크: 게이샤,MARANNIYUQ: GEISHA,"유자, 아카시아 꿀, 오렌지 블로섬, 망고",미디엄 라이트,무산소 워시드,게이샤,"2,300 MASL",,쿠스코 라 콘벤시온 잉카와시,2025년 9월,싱글오리진,419.0,"쿠스코 라 콘벤시온 잉카와시 지역의 개성이 담긴 이 커피에서는 유자가 먼저 맑게 피어나고, 이어 아카시아 꿀이 부드럽게 겹쳐지며 첫인상을 형성합니다. 발효에서 비롯된 입체적인 인상이 더해져 향미의 층위가 한층 깊어지고 중반부로 갈수록 오렌지 블로섬을 떠올리게 하는 뉘앙스가 한층 또렷해집니다. 게이샤 품종 특유의 섬세한 플로럴함과 길고 우아한 여운이 중심을 잡습니다. 높은 재배고도는 향을 더욱 선명하고 입체적으로 드러내며, 산미를 맑고 길게 이어지게 합니다. 끝맛은 깨끗하고 화사하게 정리되며, 잔향에는 꽃 향기 같은 가벼운 울림이 오래 남습니다. 섬세한 향의 결와 맑은 산미를 선호하시는 분들께 특히 인상적으로 다가갈 원두입니다."
인도네시아 프린자 내추럴,INDONESIA FRINSA NATURAL,"장미, 블랙커런트, 카카오, 셰리오크",미디엄 라이트,내추럴,"Andungasari, Ateng, Kartrika, Bor Bor","1,400 ~ 1,700 MASL",,웨스트 자바,2025년 9월,싱글오리진,418.0,"웨스트 자바 지역의 개성이 담긴 이 커피에서는 장미가 먼저 맑게 피어나고, 이어 블랙커런트가 부드럽게 겹쳐지며 첫인상을 형성합니다. 과실의 농도감이 자연스럽게 확장되며 보다 풍성한 단맛으로 이어지고 중반부로 갈수록 카카오를 떠올리게 하는 뉘앙스가 한층 또렷해집니다. 여러 품종이 겹쳐 만들어 내는 복합성이 향미의 층을 보다 풍부하게 채워 줍니다. 상대적으로 안정적인 재배고도에서 오는 편안한 단맛과 둥근 바디가 컵 전반에 자연스럽게 남습니다. 마무리는 차분하고 매끈하게 이어지며, 달콤쌉싸름한 뉘앙스가 안정감 있게 남습니다. 편안한 단맛과 안정적인 바디를 선호하시는 분들께 만족도가 높습니다."
콜롬비아 마라카이,COLOMBIA MARACAY,"구아바, 청사과, 무화과, 파넬라 슈거",미디엄,워시드,핑크 버번,"1,400 ~ 1,450 MASL",,킨디오 아르메니아,2025년 9월,싱글오리진,417.0,"킨디오 아르메니아 지역의 개성이 담긴 이 커피에서는 구아바가 먼저 맑게 피어나고, 이어 청사과가 부드럽게 겹쳐지며 첫인상을 형성합니다. 워시드 특유의 투명한 질감이 향미의 경계를 또렷하게 세워 주고 중반부로 갈수록 무화과를 떠올리게 하는 뉘앙스가 한층 또렷해집니다. 핑크 버번이 보여 주는 화사한 향과 달콤한 산미가 컵의 인상을 더욱 세련되게 만듭니다. 상대적으로 안정적인 재배고도에서 오는 편안한 단맛과 둥근 바디가 컵 전반에 자연스럽게 남습니다. 후반부로 갈수록 과실의 농도감이 부드럽게 번지며 생기 있는 피니시를 남깁니다. 화려한 과실감과 복합적인 향미를 즐기시는 분들께 좋은 선택이 됩니다."
에티오피아 비샨 디모,ETHIOPIA BISHAN DIMO,"자두, 황도, 재스민 우롱",미디엄 라이트,워시드,에어룸,"1,850 ~ 2,050 MASL",,구지,2025년 9월,싱글오리진,416.0,"구지 지역의 개성이 담긴 이 커피에서는 자두가 먼저 맑게 피어나고, 이어 황도가 부드럽게 겹쳐지며 첫인상을 형성합니다. 워시드 특유의 투명한 질감이 향미의 경계를 또렷하게 세워 주고 중반부로 갈수록 재스민 우롱을 떠올리게 하는 뉘앙스가 한층 또렷해집니다. 에티오피아 계열 품종 특유의 야생화 같은 향과 복합성이 잔 안에서 자연스럽게 펼쳐집니다. 충분한 재배고도 덕분에 산미와 향의 윤곽이 뚜렷하게 살아나며 컵의 투명감이 좋아집니다. 끝맛은 깨끗하고 화사하게 정리되며, 잔향에는 꽃 향기 같은 가벼운 울림이 오래 남습니다. 섬세한 향의 결와 맑은 산미를 선호하시는 분들께 특히 인상적으로 다가갈 원두입니다."
